"상권별(1)",상권별(2),2017 1/4,2017 2/4,2017 3/4,2017 4/4
"서울",소계,52.1,52.0,52.3,52.4
"서울",소계(도심지역),83.2,83.1,83.0,82.9
"서울",동대문,96.6,96.5,96.4,96.3
"서울",서울역,203.3,203.3,203.3,203.4
"서울",종로,48.8,48.8,48.8,48.7
"서울",소계(강남지역),63.0,62.7,62.5,62.5
"서울",강남대로,80.5,80.4,80.4,80.4
"서울",논현역,49.1,49.1,48.7,48.4
"서울",도산대로,79.3,79.3,79.3,79.3
"서울",서초,43.7,43.5,43.5,43.5
"서울",신사역,73.8,73.7,73.7,74.4
"서울",압구정,67.8,66.6,66.2,66.1
"서울",청담,80.0,78.9,78.2,77.9
"서울",테헤란로,76.2,76.7,76.7,76.7
"서울",한티역,53.0,53.0,53.0,53.4
"서울",소계(영등포신촌지역),42.8,42.8,42.3,42.4
"서울",신촌,73.0,73.0,73.0,73.2
"서울",여의도,62.5,62.5,62.6,63.0
"서울",영등포,36.7,36.7,35.4,35.4
"서울",홍대합정,35.3,35.3,35.1,35.1
"서울",소계(기타지역),47.9,47.9,48.0,48.2
"서울",건대입구,63.2,63.2,63.3,63.3
"서울",노원역,74.3,74.5,74.5,74.6
"서울",명일역,32.4,32.4,32.3,32.3
"서울",목동,60.5,60.5,60.6,60.6
"서울",불광역,23.8,23.8,23.8,23.8
"서울",사당,66.6,66.7,66.7,67.0
"서울",성신여대,45.9,46.0,46.0,46.0
"서울",수유,48.4,48.4,48.7,48.8
"서울",오류동역,43.1,43.1,43.1,43.1
"서울",용산,26.1,26.1,26.2,26.2
"서울",잠실,80.5,80.5,80.7,81.3
"서울",장안동,34.8,34.8,34.8,34.9
"서울",천호,50.8,51.2,51.6,51.7
"서울",청량리,35.0,35.1,35.1,35.2
"서울",혜화동,46.7,46.2,46.2,46.2
"서울",화곡,34.6,34.5,34.6,34.7
